slug,name,name_ru
qingling,Qingling,Кинглинг
knewstar,Knewstar,Ньюстар
jetta,Jetta,Джетта
qoros,Qoros,Корос
kama-atom,Атом,Atom
datsun,Datsun,Датсун
mclaren,McLaren,Макларен
esteo,ESTEO,Эстео
nio,Nio,НИО
mercedes-benz,Mercedes-Benz,Мерседес
evolute,Evolute,Эволют
eonyx,Eonyx,Эоникс
amc,AMC,АМС
doninvest,Донинвест,
nordcross,Nordcross,Нордкросс
gaz,ГАЗ,
audi,Audi,Ауди
dadi,Dadi,Дади
ifa,IFA,ИФА
rolls-royce,Rolls-Royce,Роллс-Ройс
peugeot,Peugeot,Пежо
xpeng,Xpeng,Хпенг
lamborghini,Lamborghini,Ламборгини
rising_auto,Rising Auto,Райзинг Авто
kavz,КАвЗ,
renault,Renault,Рено
xin_kai,Xin Kai,Син Каи
chrysler,Chrysler,Крайслер
van_hool,Van Hool,Ванхул
solaris-agr,Solaris,Солярис
arcfox,Arcfox,Аркфокс
hiphi,HiPhi,ХиФи
sitrak,SITRAK,Ситрак
erf,ERF,ЕРФ
bogdan,Богдан,Bogdan
tianma,Tianma,Тианма
vauxhall,Vauxhall,Воксхолл
infiniti,Infiniti,Инфинити
baz,БАЗ,
zuk,Zuk,Жук
bajaj,Bajaj,Баджадж
changfeng,Changfeng,Чанфэн
toyota,Toyota,Тойота
buick,Buick,Бьюик
leapmotor,Leapmotor,Липмотор
forthing,Forthing,Фортинг
smart,Smart,Смарт
acura,Acura,Акура
rox,Rox,Рокс
aston_martin,Aston Martin,Астон Мартин
fso,FSO,ФСО
kuayue,Kuayue,Куайуе
guran,Гуран,
camc,CAMC,САМС
skm,SKM,СКМ
ac,AC,АС
haima,Haima,Хайма
hyundai,Hyundai,Хендай
gmc,GMC,ДжиЭмСи
luxgen,Luxgen,Лаксджин
hongyan,Hongyan,Хонгян
king_long,King Long,Кинг Лонг
deepal,Deepal,Дипал
jinbei,Jinbei,Джинбей
kraz,КрАЗ,
international,International,Интернешнл
jmc,JMC,ДжиЭмСи
belgee,Belgee,Белджи
wuling,Wuling,Вулинг
higer,Higer,Хайгер
isuzu,Isuzu,Исузу
metrocab,Metrocab,Метрокаб
jmev,JMEV,ДЖМЕВ
vortex,Vortex,Вортекс
volga-mark,Volga,Волга
zhong_tong,Zhong Tong,Жонг Тонг
jac,JAC,Джак
weltmeister,Weltmeister,Велтмейстер
hafei,Hafei,Хафей
aito,AITO,АИТО
landwind,Landwind,Ландвинд
radar,Radar,Радар
ora,ORA,Ора
rivian,Rivian,Ривиан
wartburg,Wartburg,Вартбург
tata,TATA,Тата
jonway,Jonway,Джонвей
hycan,Hycan,Хайкан
212,212,
kaiyi,Kaiyi,Каи
ravon,Ravon,Равон
jaguar,Jaguar,Ягуар
neman,Неман,
baojun,Baojun,Баоджун
alfa_romeo,Alfa Romeo,Альфа Ромео
ciimo,Ciimo,Сиимо
maz,МАЗ,MAZ
izh,ИЖ,
zeekr,Zeekr,Зикр
jetour,Jetour,Джетур
lucid,Lucid,Люсид
howo,Howo,Хово
faw,FAW,ФАВ
delorean,DeLorean,ДеЛориан
foton,Foton,Фотон
tenet,TENET,Тенет
abarth,Abarth,Абарт
volvo,Volvo,Вольво
xcite,Xcite,Иксайт
oldsmobile,Oldsmobile,Олдсмобиль
dw_hower,DW Hower,ДВ Ховер
huaihai,Huaihai,Хуайхай
cheryexeed,EXEED,Эксид
scania,Scania,Скания
land_rover,Land Rover,Ленд Ровер
setra,Setra,Сетра
iran_khodro,Iran Khodro,Иран Ходро
jidu,Jidu,Джиду
kawei,Kawei,Кавей
freightliner,Freightliner,Фредлайнер
bentley,Bentley,Бентли
iveco,IVECO,Ивеко
tianye,Tianye,Тянье
bnm,BNM,БНМ
daewoo,Daewoo,Дэу
vis,ВИС,
maserati,Maserati,Мазерати
zil,ЗИЛ,
karma,Karma,Карма
nysa,Nysa,Ныса
amber,Амберавто,Amberauto
shineray,SRM Shineray,СРМ Шинерей
luaz,ЛуАЗ,
mercury,Mercury,Меркури
packard,Packard,Пакард
mg,MG,МГ
marcopolo,Marcopolo,Маркополо
ferrari,Ferrari,Феррари
tagaz,ТагАЗ,TagAZ
gac,GAC,ГАК
honda,Honda,Хонда
forland,Forland,Форланд
bmw,BMW,БМВ
venucia,Venucia,Венусия
hawtai,Hawtai,Хавтай
yema,Yema,Ема
porsche,Porsche,Порше
tenet_plus,TENET Plus,Тенет Плюс
eraz,ЕрАЗ,
avior,Avior,Авиор
man,MAN,МАН
lincoln,Lincoln,Линкольн
ud_trucks,UD Trucks,УД Тракс
trabant,Trabant,Трабант
kg_mobility,KGM,КГМ
hanteng,Hanteng,Хантенг
lotus,Lotus,Лотус
sany,Sany,Сани
lifan,Lifan,Лифан
enovate,Enovate,Иновэйт
neoplan,Neoplan,Неоплан
huazi,Huazi,Хуази
ineos,Ineos,Инеос
levc,LEVC,ЛЕВК
livan,Livan,Ливэн
chevrolet,Chevrolet,Шевроле
rimac,Rimac,Римак
nefaz,НефАЗ,
groz,Groz,Гроз
bestune,Bestune,Бестюн
alpina,Alpina,Альпина
brilliance,Brilliance,Бриллианс
tatra,Tatra,Татра
cadillac,Cadillac,Кадиллак
willys,Willys,Виллис
daihatsu,Daihatsu,Дайхатсу
kia,Kia,Киа
golden_dragon,Golden Dragon,Голден Драгон
zx,ZX,ЗХ
avatr,Avatr,Аватр
polar_stone,Polar Stone,Полар Стоун
holden,Holden,Холден
byd,BYD,БИД
hino,Hino,Хино
zis,ЗиС,
seat,SEAT,Сеат
alpine,Alpine,Альпин
peterbilt,Peterbilt,Петербилт
soueast,Soueast,Соуис
ambertruck,Ambertruck,Амбертрак
paz,ПАЗ,
roewe,Roewe,Роеве
changan,Changan,Чанган
luxeed,Luxeed,Луксид
naveco,Naveco,Навеко
ural-az,Урал,
skoda,Skoda,Шкода
avia,Avia,Авиа
mitsubishi,Mitsubishi,Мицубиси
dorcen,Dorcen,Дорсен
yuejin,Yuejin,Юеджин
ssang_yong,SsangYong,СсангЙонг
aiways,Aiways,Айвейс
shuanghuan,Shuanghuan,Шуан Хуань
zaz,ЗАЗ,
shacman-shaanxi,Shacman (Shaanxi),Shaanxi
coda,Coda,Кода
jbc,JBC,ДжиБиСи
oshan,Oshan,Ошан
derways,Derways,Дервейс
plymouth,Plymouth,Плимут
swm,SWM,СВМ
denza,Denza,Денза
li,Li,Ли
lada,Лада,ВАЗ
jaecoo,Jaecoo,Джейку
oting,Oting,Отинг
sollers,Sollers,Соллерс
genesis,Genesis,Генезис
bugatti,Bugatti,Бугатти
nissan,Nissan,Ниссан
baic,BAIC,БАИК
senat,Senat,Сенат
citroen,Citroen,Ситроен
yutong,Yutong,Ютонг
im_motors,IM Motors,ИМ Моторс
jeland,Jeland,Желанд
dayun,Dayun,Даюн
piaggio,Piaggio,Пьяджо
geely,Geely,Джили
lynk_and_co,Lynk & Co,Линк и Ко
m-hero,M-Hero,М-Хиро
aurus,Aurus,Аурус
hummer,Hummer,Хаммер
maxus,Maxus,Максус
icar,iCAR,иКАР
saab,Saab,Сааб
subaru,Subaru,Субару
fisker,Fisker,Фискер
opel,Opel,Опель
liaz,ЛиАЗ,LiAZ
dodge,Dodge,Додж
zotye,Zotye,Зоти
saipa,SAIPA,САИПА
lexus,Lexus,Лексус
dongfeng,Dongfeng,Донг Фенг
geo,Geo,Гео
barkas,Barkas,Баркас
pontiac,Pontiac,Понтиак
saturn,Saturn,Сатурн
changhe,Changhe,Чанге
raf,РАФ,
vgv,VGV,ВГВ
borgward,Borgward,Боргвард
kamaz,КамАЗ,KamAZ
pagani,Pagani,Пагани
suzuki,Suzuki,Сузуки
volkswagen,Volkswagen,Фольксваген
qiantu,Qiantu,Кианту
marussia,Marussia,Маруся
jeep,Jeep,Джип
ldv,LDV,ЛДВ
haval,Haval,Хавейл
asia,Asia,Азия
ford,Ford,Форд
cupra,Cupra,Купра
wey,WEY,Вей
maextro,Maextro,Маэкстро
tesla,Tesla,Тесла
mini,MINI,Мини
mitsuoka,Mitsuoka,Митсуока
rover,Rover,Ровер
fiat,Fiat,Фиат
omoda,OMODA,Омода
great_wall,Great Wall,Грейт Вол
hozon,Hozon,Хозон
skywell,Skywell,Скайвел
aro,Aro,Аро
lancia,Lancia,Лянча
ram,RAM,Рам
mazda,Mazda,Мазда
morgan,Morgan,Морган
stelato,Stelato,Стелато
kenworth,Kenworth,Кенворт
renault_samsung,Renault Samsung,Рено Самсунг
baw,BAW,БАВ
scion,Scion,Сцион
bedford,Bedford,Бедфорд
uaz,УАЗ,
voyah,Voyah,Воя
ikarus,Ikarus,Икарус
dacia,Dacia,Дачия
seres,Seres,Серес
polestar,Polestar,Полестар
perodua,Perodua,Перодуа
daf,DAF,ДАФ
tank,Tank,Тэнк
chery,Chery,Чери
bremach,Bremach,Бремач
huanghai,Huanghai,Хуанхай
moskvitch,Москвич,
spyker,Spyker,Спайкер
maybach,Maybach,Майбах
hongqi,Hongqi,Хончи
xiaomi,Xiaomi,Сяоми
umo,Umo,Умо
graham_paige,Graham-Paige,Грэм-Пейдж
hudson,Hudson,Хадсон
