category,category_slug,name,synonyms,has_side
Кузов,kuzov,Бампер,бампер|буфер,true
Кузов,kuzov,Капот,капот,false
Кузов,kuzov,Крышка багажника,крышка багажника|багажник|дверь багажника|пятая дверь,false
Кузов,kuzov,Дверь,дверь|дверка,true
Кузов,kuzov,Крыло,крыло,true
Кузов,kuzov,Порог,порог,true
Кузов,kuzov,Лонжерон,лонжерон,true
Кузов,kuzov,Стойка кузова,стойка кузова|стойка,true
Кузов,kuzov,Задняя панель,задняя панель|панель задняя,false
Кузов,kuzov,Рамка радиатора,рамка радиатора|телевизор|панель передняя,false
Кузов,kuzov,Усилитель бампера,усилитель бампера|усилитель,false
Кузов,kuzov,Решётка радиатора,решетка радиатора|решётка радиатора|решетка,false
Кузов,kuzov,Накладка бампера,накладка бампера|губа|юбка бампера,false
Кузов,kuzov,Подкрылок,подкрылок|локер,true
Кузов,kuzov,Брызговик,брызговик,true
Кузов,kuzov,Спойлер,спойлер|антикрыло,false
Кузов,kuzov,Молдинг,молдинг|накладка,true
Кузов,kuzov,Крыша,крыша,false
Кузов,kuzov,Задняя четверть,задняя четверть|четверть|боковина,true
Кузов,kuzov,Петля двери,петля двери|петля,true
Кузов,kuzov,Замок двери,замок двери|замок,true
Кузов,kuzov,Ручка двери наружная,ручка двери наружная|ручка наружная|ручка двери,true
Кузов,kuzov,Ручка двери внутренняя,ручка двери внутренняя|ручка внутренняя,true
Кузов,kuzov,Ограничитель двери,ограничитель двери|ограничитель,true
Кузов,kuzov,Амортизатор багажника,амортизатор багажника|упор багажника|газовый упор,true
Кузов,kuzov,Эмблема,эмблема|значок|шильдик,false
Кузов,kuzov,Жабо,жабо|накладка лобового стекла,false
Оптика,optika,Фара,фара|блок-фара|фара головная,true
Оптика,optika,Фонарь задний,фонарь задний|фонарь|задний фонарь|стоп,true
Оптика,optika,Противотуманная фара,противотуманная фара|птф|туманка,true
Оптика,optika,Повторитель поворота,повторитель поворота|повторитель|поворотник,true
Оптика,optika,Фонарь подсветки номера,фонарь подсветки номера|подсветка номера,false
Оптика,optika,Блок розжига,блок розжига|розжиг|балласт ксенона,true
Оптика,optika,Корректор фары,корректор фары|корректор,true
Оптика,optika,Дополнительный стоп-сигнал,дополнительный стоп-сигнал|стоп-сигнал|третий стоп,false
Оптика,optika,Катафот бампера,катафот|отражатель бампера|катафот бампера,true
Двигатель,dvigatel,Двигатель,двигатель|двс|мотор|двигатель в сборе,false
Двигатель,dvigatel,Головка блока цилиндров,головка блока цилиндров|гбц|головка блока,false
Двигатель,dvigatel,Блок цилиндров,блок цилиндров|блок,false
Двигатель,dvigatel,Поддон двигателя,поддон двигателя|поддон,false
Двигатель,dvigatel,Коленчатый вал,коленчатый вал|коленвал,false
Двигатель,dvigatel,Распределительный вал,распределительный вал|распредвал,false
Двигатель,dvigatel,Поршень,поршень,false
Двигатель,dvigatel,Шатун,шатун,false
Двигатель,dvigatel,Маховик,маховик,false
Двигатель,dvigatel,Клапанная крышка,клапанная крышка|крышка клапанная|крышка головки,false
Двигатель,dvigatel,Впускной коллектор,впускной коллектор|коллектор впускной|впуск,false
Двигатель,dvigatel,Выпускной коллектор,выпускной коллектор|коллектор выпускной|выпуск,false
Двигатель,dvigatel,Турбина,турбина|турбокомпрессор,false
Двигатель,dvigatel,Компрессор кондиционера,компрессор кондиционера|компрессор кондея|компрессор,false
Двигатель,dvigatel,Генератор,генератор|гена,false
Двигатель,dvigatel,Стартер,стартер,false
Двигатель,dvigatel,Топливный насос высокого давления,тнвд|топливный насос высокого давления,false
Двигатель,dvigatel,Форсунка,форсунка|инжектор,false
Двигатель,dvigatel,Топливная рампа,топливная рампа|рампа,false
